Type,Value,Description
MD5,37c3f5b3c814e2c014abc1210e8e69a2,ArchivecontainingAteraAgent
MD5,16923d827a440161217fb66a04e8b40a,AteraAgentInstaller
MD5,7568062ad4b22963f3930205d1a14df7,ArchivecontainingAteraAgent
MD5,39eea24572c14910b67242a16e24b768,ArchivecontainingAteraAgent
MD5,2e09e53135376258a03b7d793706b70f,AteraAgentInstaller
MD5,1f0b9aed4b2c8d958a9b396852a62c9d,ArchivecontainingSimpleHelp
MD5,065f0871b6025b8e61f35a188bca1d5c,SimpleHelpInstaller
MD5,146cc3a1a68be349e70b79f9115c496b,defense-video.zip
MD5,dd247ccd7cc3a13e1c72bb01cf3a816d,Attachments.lnk
MD5,8d2199fa11c6a8d95c1c2b4add70373a,Diagnostic.exe
MD5,04afff1465a223a806774104b652a4f0,AdvancedMonitoringAgentInstaller
MD5,6167f03c8b2734c20eb02d406d3ba651,DecoyDocument(defense-video.zip)
MD5,e8f3ecc0456fcbbb029b1c27dc1faad0,attachments.zip
MD5,952cc4e278051e349e870aa80babc755,DecoyDocument(attachments.zip)
MD5,ea026027f283e7e16389853642635fc0,Opti tune installer
MD5,08802238e1c7efac1c664b3e81bb2a85,Opti tune installer
MD5,eb66eecd7c9b6663e1c3636b4a23d376,Opti tune installer
MD5,590753b3b08393c380f0c8519c693c12,Atera agent installer
MD5,1f0b9aed4b2c8d958a9b396852a62c9d,Zipped SimpleHelp Remote Access Client Installer
URL,ws.onehub[.]com/files/7f9dxtt6,URLtoArchiveofAteraAgent
URL,a.storyblok[.]com/f/253959/x/b92ea48421/form.zip,URLtoArchiveofAteraAgent
URL,a.storyblok[.]com/f/255988/x/5e0186f61d/questionnaire.zip,URLtoArchiveofAteraAgent
URL,a.storyblok[.]com/f/259791/x/94f59e378f/questionnaire.zip,URLtoArchiveofSimpleHelp
IP,146.70.149[.]61,MuddyWater’sSimpleHelpserver
IP,146.70.124[.]102,SuspectedMuddyWater’sSimpleHelpserver
IP,37.120.237[.]204,SuspectedMuddyWater’sSimpleHelpserver
IP,37.120.237[.]248,SuspectedMuddyWater’sSimpleHelpserver
URL,a.storyblok[.]com/f/259837/x/21e6a04837/defense-video.zip,URLtoArchiveofAdvancedMonitoringAgent
URL,a.storyblok[.]com/f/259791/x/91e2f5fa2f/attachments.zip,URLtoArchiveofAdvancedMonitoringAgent
